title,provider,source,link,description,provider_type,scholarship_type,eligible_levels,eligible_regions,eligible_cities,residency_required,eligible_school_types,eligible_courses_psced,eligible_courses_specific,max_income_threshold,min_gwa_normalized,min_age,max_age,priority_groups,members_only,benefit_tuition,benefit_allowance_monthly,benefit_books,benefit_total_value,required_documents,has_qualifying_exam,has_interview,has_essay_requirement,has_return_service,application_open_date,application_deadline,academic_year_target,cycle_type,last_open_date,last_close_date,is_active,source_slug,research_notes,source_urls,dedupe_rationale
MEXT Scholarship - Specialized Training Track,JICC / Embassy of Japan,gemini_research,https://www.ph.emb-japan.go.jp/itpr_en/00_000193.html,"Japanese Government MEXT scholarship for vocational and specialized training programs in Japan. Targets high school graduates under 25 seeking technical skills development. Provides tuition, stipend, and travel support for designated training courses.",Government,Merit-based,TVET,,,false,,,,,,,25,,,true,,false,,FORM_137|BIRTH_CERT|GOOD_MORAL,false,true,true,true,2026-04-22,2026-05-29,2027-2028,annual,2026-04-22,2026-05-29,false,mext_specialized_training_2027,application_status=recurring_unopened | confidence=high | link_quality=primary,https://www.ph.emb-japan.go.jp/itpr_en/00_000193.html|https://www.ph.emb-japan.go.jp/itpr_en/11_000001_02213.html,"MEXT TVET and specialized training track, not an undergraduate or graduate research degree pathway."
MEXT Scholarship - College of Technology (KOSEN),JICC / Embassy of Japan,gemini_research,https://www.ph.emb-japan.go.jp/itpr_en/00_000193.html,"Japanese Government MEXT scholarship for the College of Technology (KOSEN) five-year engineering program in Japan. Combines college and TVET-level technical training for high school graduates under 25. Covers tuition, stipend, and roundtrip airfare.",Government,Merit-based,College|TVET,,,false,,,,,,,25,,,true,,false,,FORM_137|BIRTH_CERT|GOOD_MORAL,false,true,true,true,2026-04-22,2026-05-29,2027-2028,annual,2026-04-22,2026-05-29,false,mext_kosen_2027,application_status=recurring_unopened | confidence=high | link_quality=primary,https://www.ph.emb-japan.go.jp/itpr_en/00_000193.html|https://www.ph.emb-japan.go.jp/itpr_en/11_000001_02213.html,"MEXT KOSEN five-year engineering technology program, distinct from standard undergraduate and specialized training tracks."
GSIS Educational Subsidy Program (GESP),Government Service Insurance System,gemini_research,https://www.gsis.gov.ph,Flat-rate educational grant of 10000 PHP for dependents of active GSIS members and permanent total disability pensioners. Open to all college courses without STEM restriction. Historically offered as a broad welfare benefit before the launch of the STEM-specific GSSP.,Government,Need,College,,,false,Public|Private,,,,,,,,,false,,false,10000,BIRTH_CERT|TOR,false,false,false,false,,,2026-2027,annual,,,false,gsis_gesp_2026,application_status=recurring_unopened | confidence=high | link_quality=primary,https://www.gsis.gov.ph/tag/scholarship/,"Flat-rate GESP grant for all courses, not the new STEM-restricted GSSP with higher academic requirements."
OWWA Education for Development Scholarship (EDSP),Overseas Workers Welfare Administration,gemini_research,https://scholarship.owwa.gov.ph/,"Competitive scholarship for high-performing dependents of active OWWA members. Freshmen must be single, under 21, with SHS GWA of at least 80% and must pass the DOST-SEI qualifying exam. Provides up to 60000 PHP per school year for any four- or five-year baccalaureate course.",Government,Merit-based,College,,,false,Public|Private,,,,80,,21,OFW Dependent,,false,,false,60000,BIRTH_CERT|FORM_137|TOR|GOOD_MORAL,true,false,false,false,2025-11-10,2025-11-28,2026-2027,annual,2025-11-10,2025-11-28,false,owwa_edsp_2026,application_status=recurring_unopened | confidence=high | link_quality=primary,https://scholarship.owwa.gov.ph/|https://owwascholarship.ph/edsp-education-for-development-scholarship-program/,"EDSP merit track requiring DOST qualifying exam and 80% GWA, distinct from the need-based ODSP."
OWWA OFW Dependent Scholarship Program (ODSP),Overseas Workers Welfare Administration,gemini_research,https://scholarship.owwa.gov.ph/,Need-based scholarship for dependents of active OWWA members whose monthly salary does not exceed USD 600. Provides 20000 PHP per school year for baccalaureate or associate courses. Requires minimum 80% GWA for continuing eligibility.,Government,Need,College,,,false,Public|Private,,,,80,,,OFW Dependent,,false,,false,20000,BIRTH_CERT|FORM_137|ITR,false,false,false,false,,,2026-2027,annual,,,false,owwa_odsp_2026,application_status=recurring_unopened | confidence=high | link_quality=primary,https://scholarship.owwa.gov.ph/|https://scholarshipsfree.com/odsp-owwa-scholarship-2026-2027/,"ODSP need-based grant for lower-salary OFW families, separate from the competitive EDSP merit track."
OWWA Congressional Migrant Workers Scholarship (CMWSP),Overseas Workers Welfare Administration,gemini_research,https://scholarship.owwa.gov.ph/,Congressional-funded scholarship for active OWWA members or dependents with combined household income of USD 2400 or less per year. Restricted to prioritized science and technology courses. Provides up to 60000 PHP per academic year with minimum 80% GWA requirement.,Government,Merit-and-Need,College,,,false,Public|Private,STEM|Engineering|IT|Medical|Agriculture,,,80,,,OFW Dependent,,false,,false,60000,BIRTH_CERT|FORM_137|TOR|ITR,false,false,false,false,2025-11-10,2025-11-28,2026-2027,annual,2025-11-10,2025-11-28,false,owwa_cmwsp_2026,application_status=recurring_unopened | confidence=high | link_quality=primary,https://scholarship.owwa.gov.ph/|https://owwascholarship.ph/,"CMWSP STEM-restricted congressional allocation, distinct from EDSP and ODSP OWWA tracks."
Quezon City Scholarship Program (QCSP),Quezon City Government,gemini_research,https://qceservices.quezoncity.gov.ph,"City-wide LGU scholarship covering senior high school, vocational, college, and postgraduate students who are Quezon City residents with verified QCitizen ID. Directs 70% of tertiary slots to low-income and marginalized sectors. Supported 9377 active scholars in the most recent cycle.",LGU,Need,High School|College|TVET|Graduate,NCR,Quezon City,true,Public|Private,,,,,,,Underprivileged|PWD|4Ps|Listahanan,,true,,false,,BARANGAY_CERT|BIRTH_CERT|TOR|4PS_CERT,false,false,false,false,2026-05-25,2026-06-05,2026-2027,annual,2026-05-25,2026-06-05,false,quezon_city_qcsp_2026,application_status=recurring_unopened | confidence=high | link_quality=primary,https://qceservices.quezoncity.gov.ph|https://quezoncity.gov.ph/application-for-qc-scholarship-program-opens/,"General QCSP city-wide need-based program, separate from the specialized Manuel L. Quezon Filipino language track."
Manuel L. Quezon Filipino Language and Literature Scholarship Program,Quezon City Government,gemini_research,https://qceservices.quezoncity.gov.ph,"Specialized Quezon City LGU humanities scholarship for college students, researchers, and educators pursuing Filipino language and literature. Requires QC residency and QCitizen verification. Counterpart to STEM-focused national programs, preserving cultural capital.",LGU,Merit-based,College|Graduate,NCR,Quezon City,true,Public|Private,Arts,Filipino Language and Literature,,,,,,,true,,false,,BARANGAY_CERT|BIRTH_CERT|TOR|ESSAY,false,true,true,false,2026-05-25,2026-06-05,2026-2027,annual,2026-05-25,2026-06-05,false,quezon_city_filipino_language_2026,application_status=recurring_unopened | confidence=high | link_quality=primary,https://qceservices.quezoncity.gov.ph|https://quezoncity.gov.ph/application-for-qc-scholarship-program-opens/,"Specialized Filipino language and literature humanities track, not the general QCSP need-based program."
Australia Awards Scholarships (Philippines),Australian Government,gemini_research,https://www.australiaawardsphilippines.org/scholarships,"Fully funded master's degrees at Australian universities for Filipino citizens with at least 12 months Philippine residency and two years cumulative work experience. Covers tuition, return air travel, establishment allowance, living expenses, and health insurance. Requires a Re-Entry Action Plan for development work upon return.",Government,Merit-based,Graduate,,,false,,STEM|Agriculture|IT|Business|Education|Arts,,,,,,,,true,,false,,TOR|ESSAY|BIRTH_CERT,false,true,true,true,2026-02-01,2026-04-30,2027-2028,annual,2026-02-01,2026-04-30,false,australia_awards_2027,application_status=recurring_unopened | confidence=high | link_quality=primary,https://www.australiaawardsphilippines.org/scholarships|https://philippines.embassy.gov.au/mnla/MR100326.html,"Australian Government bilateral master's program with REAP return obligation, not a domestic Philippine grant."
Fulbright-PhilSA Graduate Program,PAEF / PhilSA,gemini_research,https://apply.iie.org/ffsp2027,"Bi-national Fulbright-Philippine Space Agency program financing master's and doctoral degrees in the United States in space science and technology applications. Fully funded including tuition, travel, maintenance, and health insurance. Requires relevant college degree, two years post-college work experience, and return-to-Philippines service obligation.",Government,Merit-based,Graduate,,,false,,STEM|Engineering|IT,Space Science and Technology Applications,,,,,,,true,,false,,TOR|ESSAY|BIRTH_CERT,false,true,true,true,,2026-06-19,2027-2028,annual,,2026-06-19,false,fulbright_philsa_2027,application_status=recurring_unopened | confidence=high | link_quality=primary,https://apply.iie.org/ffsp2027|https://www.fulbright.org.ph/index.php/services/10-scholarship-programs/296-fulbright-philsa-foreign-student-program|https://philsa.gov.ph/news/fulbright-philippine-space-agency-foreign-student-program-in-space-science-and-technology-applications-ssta-2026-2027-call-for-applications/,"Fulbright-PhilSA space technology specialization, distinct from general Australia Awards or Chevening programs."
Chevening Scholarship,FCDO / UK Government,gemini_research,https://www.chevening.org/apply,"UK Government fully funded one-year master's program in the United Kingdom. Highly competitive global selection based on leadership, networking, career plan, and study proposal. Requires at least 2800 hours of post-graduation work experience and two-year return commitment to the Philippines after completion.",Government,Merit-based,Graduate,,,false,,,,,,,,,,true,,false,,TOR|ESSAY|BIRTH_CERT,false,true,true,true,2026-08-05,2026-10-07,2027-2028,annual,,,true,chevening_2027,application_status=opening_soon | confidence=high | link_quality=primary,https://www.chevening.org/apply|https://www.chevening.org/resource-hub/guidance/eligibility/,"UK Chevening one-year master's with leadership essays, separate from Australia Awards and Fulbright-PhilSA tracks."
Global Korea Scholarship (GKS) Graduate,NIIED,gemini_research,https://www.studyinkorea.go.kr,"South Korean government scholarship for master's and doctoral degrees including mandatory one-year Korean language training. Provides round-trip airfare, tuition, living allowance, and health insurance. Embassy Track allows applying to up to three universities; applicants must be under 40.",Government,Merit-based,Graduate,,,false,,,,,,,40,,,true,,false,,TOR|ESSAY|BIRTH_CERT,false,true,true,true,2026-02-12,2026-02-25,2026-2027,annual,2026-02-12,2026-02-25,false,gks_graduate_2026,application_status=recurring_unopened | confidence=high | link_quality=primary,https://www.studyinkorea.go.kr|https://www.studyinkorea.go.kr/ko/plan/gksNoticeRead.do?bbsId=BBSMSTR_000000000461&nttId=4420,"GKS graduate degree track with language training requirement, distinct from the GKS undergraduate program."
Global Korea Scholarship (GKS) Undergraduate,NIIED,gemini_research,https://www.studyinkorea.go.kr,"South Korean government scholarship for undergraduate bachelor's degrees in Korea. Fully funded including airfare, tuition, living allowance, and health insurance with mandatory Korean language training. Embassy Track application cycle typically opens in September.",Government,Merit-based,College,,,false,,,,,,,,,,true,,false,,FORM_137|BIRTH_CERT|GOOD_MORAL|ESSAY,false,true,true,true,2025-09-15,2025-09-30,2026-2027,annual,2025-09-15,2025-09-30,false,gks_undergraduate_2026,application_status=recurring_unopened | confidence=high | link_quality=primary,https://www.studyinkorea.go.kr|https://www.mofa.go.kr/ph-en/brd/m_3272/view.do?seq=761065,"GKS undergraduate bachelor's track, separate from the GKS graduate research program."
CHED-UniFAST Tertiary Education Subsidy (TES),UniFAST / CHED,gemini_research,https://tes.unifast.gov.ph,"National need-based tertiary education subsidy administered through HEIs via the UniFAST portal. Targets underprivileged and 4Ps/Listahanan students enrolled in CHED-recognized programs. Provides allowance for tuition gaps, books, and living expenses based on prioritization guidelines.",Government,Need,College,,,false,Public|Private,,,,,,,Underprivileged|4Ps|Listahanan,,true,,true,,TOR|4PS_CERT|BIRTH_CERT,false,false,false,false,,,2026-2027,annual,,,false,unifast_tes_2026,application_status=recurring_unopened | confidence=high | link_quality=primary,https://tes.unifast.gov.ph|https://quezoncity.gov.ph/wp-content/uploads/2024/03/2.-CHED-%E2%80%93-UNIFAST-Tertiary-Education-Subsidy-TES.pdf,"UniFAST TES need-based allowance via HEI disbursement, not a competitive merit scholarship like CMSP or BPMSP."
TESDA Private Education Student Financial Assistance,TESDA,gemini_research,https://www.tesda.gov.ph,TESDA-administered financial assistance for students in private TVET institutions. Rolling applications processed through regional and provincial TESDA offices. Targets underprivileged learners pursuing technical-vocational education and training programs.,Government,Need,TVET,,,false,Private,,,,,,,Underprivileged,,true,,false,,BIRTH_CERT|FORM_137|BARANGAY_CERT,false,false,false,false,,,2026-2027,rolling,,,true,tesda_pesfa_2026,application_status=open | confidence=high | link_quality=primary,https://www.tesda.gov.ph/about/tesda/1279,"TESDA private TVET rolling assistance via regional offices, distinct from BPMSP TVET merit track."
PUP Entrance Scholarship Program,PUP,gemini_research,https://www.pup.edu.ph/students/scholarships,"Institutional merit scholarship for exemplary incoming PUP freshmen who qualify through the university entrance examination. Targets high-performing qualifiers with financial need considerations including PWD, IP, and solo parent dependents.",Institutional,Merit-based,College,,,false,Public,,,,,,,Underprivileged|PWD|IP|Solo Parent Dependent,,true,,false,,FORM_137|BIRTH_CERT|GOOD_MORAL,true,false,false,false,,,2026-2027,annual,,,false,pup_entrance_scholarship_2026,application_status=recurring_unopened | confidence=high | link_quality=primary,https://www.pup.edu.ph/students/scholarships,"PUP freshman entrance merit grant for qualifiers only, not the semester-based student assistantship."
PUP Student Assistantship Program,PUP,gemini_research,https://www.pup.edu.ph/students/scholarships,Need-based student assistantship managed by the PUP student services office with rolling applications each semester. Provides work-study opportunities on campus to help enrolled students cover educational expenses.,Institutional,Need,College,,,false,Public,,,,,,,,,false,,false,,TOR|BIRTH_CERT,false,true,false,false,,,2026-2027,semester,,,true,pup_student_assistantship_2026,application_status=open | confidence=high | link_quality=primary,https://www.pup.edu.ph/students/scholarships,"Semester rolling work-study assistantship for enrolled PUP students, not the freshman entrance scholarship."
UP College of Law Scholarship Program,UP College of Law,gemini_research,https://law.upd.edu.ph/call-for-scholarship-applications-ay-2025-2026/,"Institutional merit-and-need scholarship for UP College of Law students. Targets underprivileged, PWD, and IP law students with demonstrated financial need and academic standing. Highly recurring annual grant administered by the law college.",Institutional,Merit-and-Need,Graduate,,,false,Public,,Law,,,,,Underprivileged|PWD|IP,,true,,false,,TOR|ITR|ESSAY|GOOD_MORAL,false,true,true,false,2025-06-30,2025-07-20,2025-2026,annual,2025-06-30,2025-07-20,false,up_college_of_law_2026,application_status=recurring_unopened | confidence=high | link_quality=primary,https://law.upd.edu.ph/call-for-scholarship-applications-ay-2025-2026/,"UP Law institutional grant for JD students only, not a general UP Diliman undergraduate program."
Security Bank External Scholarship Program,Security Bank Foundation,gemini_research,https://www.securitybank.com/agency-scholarships-program-dnd/,"Private corporate scholarship for college students in NCR pursuing business, STEM, engineering, and IT fields. Requires minimum 86% GWA. Active program with partner university deadlines including PUP and Ateneo through July 31, 2026.",Private,Merit-and-Need,College,NCR,,false,Public|Private,Business|STEM|Engineering|IT,,,86,,,,,true,,false,,TOR|GOOD_MORAL|BIRTH_CERT,false,true,false,false,2026-05-23,2026-07-31,2026-2027,annual,,,true,security_bank_external_2026,application_status=open | confidence=high | link_quality=primary,https://www.securitybank.com/agency-scholarships-program-dnd/,"Security Bank NCR corporate scholarship via partner universities, distinct from Gokongwei and Megaworld foundation programs."
Gokongwei Brothers Foundation STEM-College Scholarship,Gokongwei Brothers Foundation,gemini_research,https://philscholar.com/gbf-stem-college-scholarship/,"Annual corporate STEM scholarship for college students in engineering, IT, and related science fields. Covers tuition and provides allowances for scholars demonstrating academic merit and financial need. Annual cycle closed May 31, 2026 for current intake.",Private,Merit-and-Need,College,,,false,Public|Private,STEM|Engineering|IT,,,,,,,,true,,false,,TOR|FORM_137|BIRTH_CERT|GOOD_MORAL,false,true,false,false,2026-04-07,2026-05-31,2026-2027,annual,2026-04-07,2026-05-31,false,gokongwei_stem_college_2026,application_status=recurring_unopened | confidence=medium | link_quality=secondary,https://philscholar.com/gbf-stem-college-scholarship/,GBF STEM-college corporate program; secondary source only as official GBF portal URL was not verified in research.
Megaworld Foundation College Scholarship,Megaworld Foundation,gemini_research,https://www.megaworldfoundation.com/scholarship/apply/form,"Corporate college scholarship for underprivileged students in STEM, engineering, IT, business, and architecture. Requires minimum 85% GWA with zero dropped subjects and combined household income not exceeding 400000 PHP. Covers full tuition and institutional fees plus monthly stipend.",Private,Merit-and-Need,College,,,false,Public|Private,STEM|Engineering|IT|Business|Architecture,,400000,85,,,Underprivileged,,true,2500,false,,TOR|ITR|BIRTH_CERT|GOOD_MORAL|ESSAY,false,true,true,false,2026-02-11,2026-02-28,2026-2027,annual,2026-02-11,2026-02-28,false,megaworld_college_2026,application_status=recurring_unopened | confidence=high | link_quality=primary,https://www.megaworldfoundation.com/scholarship/apply/form|https://www.megaworldfoundation.com,"Megaworld Foundation undergraduate grant with 400K income cap and 85% GWA, separate from Security Bank and GBF programs."
