title,provider,source,link,description,provider_type,scholarship_type,eligible_levels,eligible_regions,eligible_cities,residency_required,eligible_school_types,eligible_courses_psced,eligible_courses_specific,max_income_threshold,min_gwa_normalized,min_age,max_age,priority_groups,members_only,benefit_tuition,benefit_allowance_monthly,benefit_books,benefit_total_value,required_documents,has_qualifying_exam,has_interview,has_essay_requirement,has_return_service,application_open_date,application_deadline,academic_year_target,cycle_type,last_open_date,last_close_date,is_active,source_slug,research_notes,source_urls,dedupe_rationale
Davao City STEP FA Category C,Davao City Government (EBSU),gemini_research,https://davaocity.gov.ph,"STEP Category C is a broad-access financial assistance tier by Davao City EBSU focused purely on educational access for lower-income groups. It operates under a standard academic barrier of a 80% passing GWA. It delivers a support fund of 7,500 PHP per semester (15,000 PHP annually) designed to buffer costs for students attending free public SUCs or local institutes. Application processing is synchronized with the main EBSU online schedule.",LGU,Need,College,Region XI - Davao,Davao City,true,Public,STEM|Engineering|IT|Education|Medical|Business|Agriculture|Arts,All standard programs,180000,80,,,Low Income Urban Youth,,false,1000,false,15000,TOR|BARANGAY_CERT|4PS_CERT,false,false,false,false,,,2026-2027,annual,2025-05-10,2025-06-25,false,davao_city_step_cat_c_2026,application_status=closed_reference | confidence=high | link_quality=primary,https://davaocity.gov.ph/transparency/forms-and-reports/forms/ebsu-online-application,Davao EBSU mass equity level targeted at low-income college students.
Davao City Medical and Law Education Assistance Program,Davao City Government (EBSU),gemini_research,https://davaocity.gov.ph,"This postgraduate track funded by the Davao City Government supports resident college graduates pursuing higher professional degrees in Doctor of Medicine (MD) or Juris Doctor (JD) within institutions located in Davao City (such as DMSF, Ateneo de Davao Law). It supplies substantial funding up to 50,000 PHP per semester to directly offset high professional tuition costs. Applicants must pass a screening panel, present an NMAT or Law School Admission test result, and possess a solid undergraduate GWA of 85%. Requires a corresponding 1-year return service within Davao City offices or city public health units for each year of grant support.",LGU,Merit-based,Graduate,Region XI - Davao,Davao City,true,Private|Public,Medical,Doctor of Medicine|Juris Doctor,500000,85,,,Law and Medicine Students,,true,4000,true,100000,TOR|BIRTH_CERT|GOOD_MORAL|ESSAY,true,true,true,true,,,2026-2027,annual,2025-04-20,2025-06-05,false,davao_city_medical_law_2026,application_status=closed_reference | confidence=high | link_quality=primary,https://davaocity.gov.ph/transparency/forms-and-reports/forms/ebsu-online-application,Elite postgraduate LGU track explicitly for medical and legal tracks with service rules.
Ateneo Freshman Merit Scholarship,Ateneo de Manila University,gemini_research,https://www.ateneo.edu,"The Ateneo Freshman Merit Scholarship is awarded annually to the top 50 absolute highest-performing applicants who excel in the Ateneo College Entrance Test (ACET) nationwide. Selected automatically by the OAA without requiring a separate application form, this elite award grants 100% full tuition exemption, waives all institutional miscellaneous fees, and grants a flat book allowance of 10,000 PHP per year. Academic retention is strictly audited, requiring a minimum QPI of 3.0 (90% normalized GWA) and active leadership participation within approved campus organizations.",Institutional,Merit-based,College,,,false,Private,STEM|Engineering|IT|Education|Medical|Business|Agriculture|Arts,All ADMU undergraduate programs,,90,,,Top ACET Performers,,true,,true,160000,TOR|GOOD_MORAL,true,false,false,false,,,2027-2028,annual,2025-09-05,2025-11-20,true,ateneo_freshman_merit_2026,application_status=recurring_unopened | confidence=high | link_quality=primary,https://www.ateneo.edu/college/admissions/scholarships,Elite merit award for top 50 ACET examinees with elevated GWA standards.
Ateneo Magis Scholarship,Ateneo de Manila University,gemini_research,https://www.ateneo.edu,"The Ateneo Magis Scholarship is a specialized institutional track specifically reserved for high-achieving graduates of public high schools nationwide who showcase outstanding leadership profiles and financial need. It provides 100% tuition and fee coverage, an allocated monthly living stipend of 4,000 PHP, full book allowances, and on-campus dormitory accommodation at the Cervini or Eliazo Halls if the student is from the provinces. Application requires public school principal endorsement, ACET certification, and thorough interview evaluations.",Institutional,Merit-and-Need,College,,,false,Private,STEM|Engineering|IT|Education|Medical|Business|Agriculture|Arts,All undergraduate paths,250000,85,,,Public High School Grads,,true,4000,true,220000,ITR|BARANGAY_CERT|FORM_137|ESSAY,true,true,true,false,,,2027-2028,annual,2025-09-05,2025-11-20,true,ateneo_magis_scholarship_2026,application_status=recurring_unopened | confidence=high | link_quality=primary,https://www.ateneo.edu/college/admissions/scholarships,Targeted public school equity track including fully funded dorm provisions.
DLSU St La Salle Financial Assistance Grant,De La Salle University,gemini_research,https://www.dlsu.edu.ph,"The St. La Salle Financial Assistance Grant is De La Salle University's primary need-based equity tool for undergraduate college students. Administered by the Oasis-Scholarships and Financial Assistance Hub (OASFAH), it provides full or partial tuition and fee waivers. Eligible applicants must prove a combined annual family income below 700,000 PHP and submit standard academic records showing a GWA of 85% or above with no failures. It includes a monthly allowance of 3,500 PHP for absolute 100% grantees. Portals open semestrally for current students and annually for incoming freshmen.",Institutional,Need,College,,,false,Private,STEM|Engineering|IT|Education|Medical|Business|Arts,All undergraduate degree courses,700000,85,,,High Financial Need,,true,3500,true,180000,ITR|BARANGAY_CERT|TOR|BIRTH_CERT,true,true,false,false,2026-06-01,2026-07-15,2026-2027,semester,2026-01-10,2026-02-20,true,dlsu_st_la_salle_grant_2026,application_status=open | confidence=high | link_quality=primary,https://www.dlsu.edu.ph/scholarships/st-la-salle-financial-assistance-grant,DLSU baseline institutional need-based grant with distinct token funding framework.
DLSU Vaugirard Scholarship Program,De La Salle University,gemini_research,https://www.dlsu.edu.ph,"The Vaugirard Scholarship Program is exclusively targeted at exceptional graduates of Philippine public high schools who emerged as the top academic scorers in the DCAT. It completely bridges equity and excellence by presenting 100% free tuition and institutional fee waivers, a monthly allowance of 4,000 PHP, and specialized academic counseling. Eligible applicants must be formally certified by their public high school principals and pass the OASFAH panel verification.",Institutional,Merit-and-Need,College,,,false,Private,STEM|Engineering|IT|Education|Medical|Business|Arts,All undergraduate degrees,300000,88,,,Public High School Grads,,true,4000,true,190000,FORM_137|BARANGAY_CERT|BIRTH_CERT,true,true,false,false,,,2026-2027,annual,2025-05-15,2025-07-05,false,dlsu_vaugirard_scholarship_2026,application_status=closed_reference | confidence=high | link_quality=primary,https://www.dlsu.edu.ph/scholarships/vaugirard-scholarship-program,DLSU public high school exclusive merit-need program omitted in Round 1.
UST San Lorenzo Ruiz Student Assistance Scholarship,University of Santo Tomas,gemini_research,https://manila.ust.edu.ph,"The San Lorenzo Ruiz Student Assistance Scholarship is the University of Santo Tomas' premier internal working scholarship program managed by the Office for Student Affairs (OSA). It caters to regular UST college students who possess financial need and are willing to render 20 to 30 hours of service per week within university offices, laboratories, or libraries. It presents a 100% full waiver of tuition and miscellaneous fees, plus a basic hourly stipend. Applicants must maintain a minimum GWA of 82% (2.25) with zero failures. Highly structured and recurring every semester.",Institutional,Affiliation,College,NCR,,false,Private,STEM|Engineering|IT|Education|Medical|Business|Arts,All UST college programs,250000,82,,,Student Assistants,,true,,true,60000,TOR|BARANGAY_CERT|GOOD_MORAL|ITR,false,true,false,false,,,2026-2027,semester,2025-05-20,2025-07-02,false,ust_san_lorenzo_ruiz_2026,application_status=closed_reference | confidence=high | link_quality=primary,https://manila.ust.edu.ph/osawebapp/osainfo-scholarshipoffered,UST internal working student track requiring office hours in exchange for tuition.
UST Santo Tomas Academic Scholarship,University of Santo Tomas,gemini_research,https://manila.ust.edu.ph,"The Santo Tomas Academic Scholarship is awarded to incoming freshmen who graduated as Valedictorians (100% tuition coverage) or Salutatorians (50% tuition coverage) of their high school classes. Validated through the UST OSA, recipients must pass the UST Entrance Test (USTET) and secure regular status enrollment. Retention mandates keeping a clean disciplinary record and a high semestral GWA of 1.75 or better (88% normalized). No financial background checks are applied.",Institutional,Merit-based,College,NCR,,false,Private,STEM|Engineering|IT|Education|Medical|Business|Arts,All university programs,,88,,,High School Honor Grads,,true,,false,100000,FORM_137|GOOD_MORAL,true,false,false,false,,,2026-2027,annual,2025-05-20,2025-07-02,false,ust_santo_tomas_academic_2026,application_status=closed_reference | confidence=high | link_quality=primary,https://manila.ust.edu.ph/osawebapp/osainfo-scholarshipoffered,UST baseline automatic merit track for top high school grads.
DOH Medical Scholarship and Return Service Program,Department of Health,gemini_research,https://doh.gov.ph,"The DOH Medical Scholarship and Return Service (MSRS) Program is a major sector-specific government intervention operating under the 'Doktor Para sa Bayan' Act (RA 11509) in partnership with CHED. It funds full medical education (Doctor of Medicine) for qualified Filipino students across certified state and partner private universities. It covers 100% of tuition, laboratory fees, provides a high monthly living allowance of 15,000 PHP, a specialized book/equipment allowance of 20,000 PHP per semester, and basic board exam review subsidies. Eligible applicants must hold a Bachelor's degree with a solid GWA, pass the medical school entrance and NMAT, and prioritize low-income roots or origin from underserved rural towns. Return service requires serving as a public health officer in a government hospital or rural health unit (RHU) for 1 year for every year of scholarship.",Government,Merit-and-Need,Graduate,,,false,Public|Private,Medical,Doctor of Medicine (MD),600000,85,,,Rural Public Health,,true,15000,true,250000,TOR|BIRTH_CERT|GOOD_MORAL|ITR|ESSAY,true,true,true,true,,,2026-2027,annual,2025-05-15,2025-07-05,false,doh_msrs_doctor_2026,application_status=closed_reference | confidence=high | link_quality=primary,https://doh.gov.ph|https://ched.gov.ph,National statutory medical track under RA 11509 with comprehensive returns.
OWWA Educational Livelihood Assistance Program College Track,Overseas Workers Welfare Administration,gemini_research,https://owwa.gov.ph,"The OWWA Educational Livelihood Assistance Program (ELAP) College Track is an allocation reserved for the children or dependents of active or deceased Overseas Filipino Workers (OFWs) who faced sudden distress, repatriation, or death while serving abroad. Distinct from the EDSP/ODSP merit lines, ELAP operates primarily as a livelihood-linked equity framework. It guarantees an educational subsidy of 10,000 PHP per year for the designated student dependent enrolled in any undergraduate college or technical track. Academic evaluation relies on basic passing marks (75% GWA) with no explicit ranking requirements. Online processing must clear the OWWA Regional Welfare Offices.",Government,Need,College|TVET,,,false,Public|Private,STEM|Engineering|IT|Education|Medical|Business|Agriculture|Arts,All accredited lines,250000,75,,,Distressed OFW Dependents,,false,,false,,OFW_DOCS|BARANGAY_CERT|BIRTH_CERT|TOR,false,false,false,false,2026-05-01,2026-07-15,2026-2027,annual,2025-05-05,2025-07-20,true,owwa_elap_college_2026,application_status=open | confidence=high | link_quality=primary,https://owwa.gov.ph|https://ro1.owwa.gov.ph,OWWA humanitarian track for distressed/repatriated OFW children; low barrier.
Security Bank Foundation Agency Personnel Scholarship,Security Bank Foundation,gemini_research,https://www.securitybank.com,"This unique corporate affiliation-based scholarship track is exclusively reserved for the legitimate children and dependents of Security Bank's third-party agency personnel (including dedicated security guards, janitorial workers, and building maintenance staff). It extends a direct annual educational allowance of 30,000 PHP for undergraduate studies to ease school costs for working-class contractor families. Requires a minimum passing GWA of 80% and validation of the parent's active employment contract with the bank's agency partner.",Private,Affiliation,College,,,false,Public|Private,STEM|Engineering|IT|Education|Medical|Business|Agriculture|Arts,All undergrad programs,250000,80,,,Agency Worker Children,,false,,true,30000,BIRTH_CERT|TOR|BARANGAY_CERT,false,false,false,false,,,2026-2027,annual,2025-04-20,2025-06-25,false,security_bank_agency_dep_2026,application_status=closed_reference | confidence=high | link_quality=primary,https://www.securitybank.com/foundation/scholars-for-better-communities,Affiliation corporate program targeting bank contractor/agency staff children.
TESDA Training for Work Scholarship Program,Technical Education and Skills Development Authority,gemini_research,https://tesda.gov.ph,"The TESDA Training for Work Scholarship Program (TWSP) is a major sector-specific national TVET pipeline designed to fulfill critical skills requirements in high-growth industries such as IT-BPO, electronics, tourism, and metal engineering. Fully funded by the national government, it covers 100% of the training and instructional fees for short-term tech-voc modules (ranging from 1 to 6 months). Additionally, it distributes a daily training allowance of 160 PHP and provides full coverage for the National Assessment fee. Open to all Filipinos aged 18 and above with a high school diploma. Applications are processed directly through TESDA Regional Offices or accredited tech-voc institutions.",Government,Need,TVET,,,true,Public|Private,IT|Engineering,Short term tech voc modules,,75,18,,Unemployed Youth,,true,3500,false,15000,BIRTH_CERT|FORM_137|BARANGAY_CERT,false,false,false,false,2026-01-01,2026-12-31,2026-2027,rolling,2025-01-05,2025-12-28,true,tesda_twsp_tvet_2026,application_status=open | confidence=high | link_quality=primary,https://tesda.gov.ph,National short-term TVET sector fund with daily stipends; separate from baseline PESFA.
TESDA Special Training for Employment Program,Technical Education and Skills Development Authority,gemini_research,https://tesda.gov.ph,"The Special Training for Employment Program (STEP) is a community-focused TESDA scholarship path targeted at grass-roots livelihood creation and entrepreneurial development. It offers free technical training in community-based skills (e.g., electrical repair, baking, welding, masonry). Critically, it delivers an allocated daily allowance of 160 PHP, a clothing allowance of 500 PHP, and provides a comprehensive high-value Entrepreneurship Tool Kit (e.g., actual baking or welding kits) upon module completion to assist immediate employment. No GWA restrictions are applied.",Government,Need,TVET,,,true,Public|Private,Engineering,Community livelihood short courses,,75,15,,Grassroots Poor,,true,3500,false,22000,BIRTH_CERT|BARANGAY_CERT,false,false,false,false,2026-01-01,2026-12-31,2026-2027,rolling,2025-01-05,2025-12-28,true,tesda_step_tvet_2026,application_status=open | confidence=high | link_quality=primary,https://tesda.gov.ph,Community TVET program providing physical entrepreneur tool kits upon graduation.
Aboitiz Future Leaders Scholarship Program,Aboitiz Foundation,gemini_research,https://aboitiz.com/aboitiz-foundation/aboitiz-future-leaders-scholarship,"Corporate scholarship for incoming sophomore students enrolled in partner state universities in engineering, data science, communications, and related fields. Covers full tuition, monthly allowance, and academic excellence incentives. Requires cumulative first-year GWA of 2.0 or better on the UP scale with no failing or incomplete grades, plus a mandatory 400-hour internship within Aboitiz Group business units.",Private,Merit-and-Need,College,,,false,Public,STEM|Engineering|IT|Business|Agriculture|Arts,,,75,,,,,true,,false,,TOR|GOOD_MORAL|ESSAY,false,true,true,false,2026-04-28,2026-06-30,2026-2027,annual,,,true,aboitiz_future_leaders_2026,application_status=open | confidence=high | link_quality=primary,https://aboitiz.com/aboitiz-foundation/aboitiz-future-leaders-scholarship|https://sikap.upd.edu.ph/posts/scholarships/128/,"Sophomore-only corporate pipeline restricted to Aboitiz partner SUCs, distinct from freshman merit programs."
CHED Merit Scholarship Program (CMSP),Commission on Higher Education,gemini_research,https://legacy.ched.gov.ph/merit-scholarship/,Legacy CHED merit program for incoming college freshmen with minimum 93% GWA and combined annual household income up to 500000 PHP. Covers tuition and fees for scholars in CHED-recognized programs nationwide. Open for AY 2026-2027 applications.,Government,Merit-based,College,,,false,Public|Private,STEM|Engineering|IT|Medical|Business|Education|Agriculture|Arts|Architecture,,500000,93,,,Underprivileged|PWD|IP|Solo Parent Dependent,,true,,false,,FORM_137|TOR|ITR|BIRTH_CERT|GOOD_MORAL,false,false,false,false,2026-06-22,2026-07-31,2026-2027,annual,,,true,ched_cmsp_2026,application_status=open | confidence=high | link_quality=primary,https://legacy.ched.gov.ph/merit-scholarship/,"Legacy CMSP with 93% GWA and 500K income cap, separate from the newer BPMSP with higher thresholds."
SM Foundation College Scholarship Program,SM Foundation,gemini_research,https://scholarship.sm-foundation.org/,Corporate scholarship for graduating Grade 12 students from public schools or private voucher completers with household income up to 250000 PHP per year and minimum 92% GWA. Covers full tuition and fees plus monthly stipend at partner schools across designated regions. Includes semestral employment and post-graduation job placement within the SM Group.,Private,Merit-and-Need,College,NCR|Region III - Central Luzon|Region IV-A - Calabarzon|Region V - Bicol|Region VI - Western Visayas|Region VII - Central Visayas|Region VIII - Eastern Visayas|Region IX - Zamboanga Peninsula|Region X - Northern Mindanao|Region XI - Davao|Region XII - Soccsksargen|Region XIII - Caraga,,false,Public|Private,STEM|Engineering|IT|Business|Education,,250000,92,,,Underprivileged,,true,,false,,FORM_137|BIRTH_CERT|ITR|GOOD_MORAL,false,true,false,false,,,2026-2027,annual,,,false,sm_foundation_college_2026,application_status=recurring_unopened | confidence=high | link_quality=primary,https://scholarship.sm-foundation.org/|https://www.sm-foundation.org/what_we_do/college-scholarship-program/,"SM Foundation freshman pipeline restricted to partner-school regions, not a nationwide open-enrollment grant."
Megaworld Foundation College Scholarship,Megaworld Foundation,gemini_research,https://www.megaworldfoundation.com/scholarship/apply/form,"Corporate college scholarship for underprivileged students in STEM, engineering, IT, business, and architecture. Requires minimum 85% GWA with zero dropped subjects and combined household income not exceeding 400000 PHP. Covers full tuition and institutional fees plus monthly stipend.",Private,Merit-and-Need,College,,,false,Public|Private,STEM|Engineering|IT|Business|Architecture,,400000,85,,,Underprivileged,,true,2500,false,,TOR|ITR|BIRTH_CERT|GOOD_MORAL|ESSAY,false,true,true,false,,,2026-2027,annual,,,false,megaworld_college_2026,application_status=recurring_unopened | confidence=high | link_quality=primary,https://www.megaworldfoundation.com/scholarship/apply/form|https://www.megaworldfoundation.com,"Megaworld Foundation undergraduate grant with 400K income cap and 85% GWA, separate from Security Bank and GBF programs."
