title,provider,source,link,description,provider_type,scholarship_type,eligible_levels,eligible_regions,eligible_cities,residency_required,eligible_school_types,eligible_courses_psced,eligible_courses_specific,max_income_threshold,min_gwa_normalized,min_age,max_age,priority_groups,benefit_tuition,benefit_allowance_monthly,benefit_books,benefit_total_value,required_documents,has_qualifying_exam,has_interview,has_essay_requirement,has_return_service,application_open_date,application_deadline,academic_year_target,cycle_type,last_open_date,last_close_date,is_active,source_slug,research_notes,source_urls,dedupe_rationale
Makati City Premier and Specialized School Scholarship,Makati City Government,gemini_research,https://www.makati.gov.ph,"The Makati City Government Scholarship Program offers elite financial backing to top-tier Makati residents who secure admission into designated Centers of Excellence or top private universities (such as DLSU, ADMU, UST, Mapua). Applicants must provide proof of at least 5 years of continuous city residency, valid Makati LGU ID/QCitizen equivalent, and rank in the top 10% of their graduating Senior High School class. It supplies up to 80,000 PHP annually for tuition and institutional fees. Recipients must sign a contract committing to a mandatory 2-year return service within the Makati LGU or city public school system upon graduation. GWA maintenance of 88% (1.75) is strictly audited per semester.",LGU,Merit-based,College,NCR,Makati,true,Private,STEM|Engineering|IT|Education|Medical|Business,Elite institutional programs,500000,88,,,Top 10 Percent Graduates,true,4000,true,80000,BARANGAY_CERT|BIRTH_CERT|TOR|GOOD_MORAL,true,true,false,true,2026-06-01,2026-07-15,2026-2027,annual,2025-06-02,2025-07-20,true,makati_city_premier_2026,application_status=open | confidence=high | link_quality=secondary,https://www.makati.gov.ph|https://mirror.pia.gov.ph,Elite private university track for Makati residents with a 2-year service obligation.
Makati City SUC and Priority Courses Scholarship,Makati City Government,gemini_research,https://www.makati.gov.ph,"This LGU track caters to Makati residents enrolled in State Universities and Colleges (outside of UMak) pursuing priority industrial fields like IT, engineering, and digital science. It grants 20,000 PHP per semester to offset learning materials, transportation, and field training expenses. It requires 5 years of residency and an overall GWA of 82% (2.25) with no grades lower than 80%. Applications are handled through the Makati Education Department at City Hall.",LGU,Merit-and-Need,College,NCR,Makati,true,Public,STEM|Engineering|IT,IT and Engineering courses,300000,82,,,Low to Middle Income,false,2000,true,40000,BARANGAY_CERT|TOR|ITR,false,true,false,false,2026-06-01,2026-07-15,2026-2027,annual,2025-06-02,2025-07-20,true,makati_city_suc_priority_2026,application_status=open | confidence=high | link_quality=secondary,https://www.makati.gov.ph,Non-UMak SUC track for Makati residents emphasizing localized technical fields.
University of Makati Token Fee Exemption Program,University of Makati (UMak),gemini_research,https://www.umak.edu.ph,"The University of Makati (UMak) Token Fee Exemption Program serves as an institutional academic scholarship that waives the remaining standard token fees for high-performing student residents of Makati. Administered by the UMak Scholarship Office, applicants must achieve a GWA of 1.75 (88%) or better during their semester and maintain a full academic load. The program converts academic excellence directly into fully zeroed tuition liabilities and offers priority enlistment. Application is processed entirely internally through the UMak student portal at the close of every grading period.",Institutional,Merit-based,College,NCR,Makati,true,Public,STEM|Engineering|IT|Education|Medical|Business|Arts,All UMak college courses,250000,88,,,UMak Internals,true,,false,5000,TOR|GOOD_MORAL,false,false,false,false,2026-05-10,2026-06-25,2026-2027,semester,2025-05-15,2025-06-30,false,umak_token_fee_exemption_2026,application_status=closed_reference | confidence=high | link_quality=primary,https://www.umak.edu.ph/admissions/scholarships,UMak internal institutional merit track distinct from general LGU grants.
University of Makati Special Institutional Scholarship,University of Makati (UMak),gemini_research,https://www.umak.edu.ph,"UMak's Special Institutional Scholarship provides targeted need-and-affiliation assistance for unique sectors inside the university community, including registered PWD students, certified children of active Makati LGU employees, barangay officials, and student-artists in the UMak cultural troupe. It provides complete fee exemptions and a monthly book allowance of 1,000 PHP. Candidates must hold a GWA of 75% (passing) with no dropped or incomplete modules. Formal verification requires presenting civil service certificates or PWD IDs.",Institutional,Affiliation,College|TVET,NCR,Makati,true,Public,STEM|Engineering|IT|Education|Medical|Business|Arts,All UMak offerings,350000,75,,,PWD|LGU Dependents,true,1000,true,15000,BARANGAY_CERT|TOR|BIRTH_CERT,false,true,false,false,2026-05-10,2026-06-25,2026-2027,semester,2025-05-15,2025-06-30,false,umak_special_scholarship_2026,application_status=closed_reference | confidence=high | link_quality=primary,https://www.umak.edu.ph/admissions/scholarships,Affiliation-based institutional grant for specific Makati employee/PWD sectors.
Valenzuela City Dr. Pio Valenzuela Scholarship Program,Valenzuela City Government,gemini_research,https://valenzuela.gov.ph/drpioscholarship,"The Dr. Pio Valenzuela Scholarship Program is an intensive LGU merit-need initiative by the Valenzuela City Government. It targets financially challenged but academically elite student residents. Eligible individuals must have spent at least 4 consecutive years in Valenzuela City, graduated Senior High School with a GWA of 85% or higher, and hold zero grades lower than 85% in Grades 11 and 12. Crucially, the total annual household income must not exceed 120,000 PHP. The program awards a financial support grant of 30,000 PHP per year (15,000 PHP per semester) for tuition and school compliance. Portal submissions require uploading digital copies of ITR or Indigency certificates, Form 138/137, and Barangay clearance.",LGU,Merit-and-Need,College,NCR,Valenzuela,true,Public|Private,STEM|Engineering|IT|Education|Medical|Business|Agriculture|Arts,All undergraduate degrees,120000,85,,,Indigent Achievers,true,2000,true,30000,FORM_137|BARANGAY_CERT|ITR|BIRTH_CERT,true,true,false,false,2026-06-15,2026-07-31,2026-2027,annual,2025-06-20,2025-08-05,true,valenzuela_dr_pio_scholarship_2026,application_status=open | confidence=high | link_quality=primary,https://valenzuela.gov.ph/drpioscholarship|https://valenzuela.gov.ph/files/pdfs/scholarship_form.pdf,Strict local income cap (120k) LGU scholarship program with high GWA criteria.
Muntinlupa MOST Academic Scholarship,Muntinlupa Scholarship Division,gemini_research,https://www.muntinlupacity.gov.ph,"The Muntinlupa Outstanding Students (MOST) Scholarship is an elite academic grant given to the top 10 highest-ranking graduating Senior High School students from every public and private high school operating in Muntinlupa City. Managed by the Muntinlupa Scholarship Division (MSD), it applies strictly to individuals who secure entry into premier State Universities (such as UP Diliman/Los Banos) or top-tier private institutions. It offers absolute tuition coverage up to 100,000 PHP annually, alongside a high monthly stipend of 5,000 PHP. Academic maintenance is strictly tied to a GWA of 1.50 (90%) with zero failures. Applications require certified high school ranking documents and automated validation.",LGU,Merit-based,College,NCR,Muntinlupa,true,Public|Private,STEM|Engineering|IT|Education|Medical,Top tier national courses,500000,90,,,Top Valedictorians,true,5000,true,130000,FORM_137|GOOD_MORAL|BIRTH_CERT,true,true,true,false,2026-05-01,2026-06-15,2026-2027,annual,2025-05-05,2025-06-20,false,muntinlupa_most_scholarship_2026,application_status=closed_reference | confidence=high | link_quality=secondary,https://www.muntinlupacity.gov.ph,Highly selective top-10 graduation rank LGU merit award omitted in Round 1.
Muntinlupa CARES Financial Assistance Program,Muntinlupa Scholarship Division,gemini_research,https://www.muntinlupacity.gov.ph,"The Continuing Assistance for Reintegrating Students (CARES) is a equity-driven financial assistance mechanism for general college residents of Muntinlupa who are enrolled in public SUCs or local community colleges. It requires a baseline GWA of 80% (2.5) with no incomplete or failing grades. It disburses a direct financial support grant of 5,000 PHP per semester to cover transport and digital connectivity needs. Financial status is verified via Barangay Certificate of Indigency or low-income ITR. Registration occurs semestrally via the MSD localized offices.",LGU,Need,College,NCR,Muntinlupa,true,Public,STEM|Engineering|IT|Education|Medical|Business|Agriculture|Arts,All standard courses,200000,80,,,Low Income Residents,false,1000,false,10000,BARANGAY_CERT|TOR|4PS_CERT,false,false,false,false,2026-06-01,2026-07-20,2026-2027,semester,2026-01-10,2026-02-25,true,muntinlupa_cares_program_2026,application_status=open | confidence=high | link_quality=secondary,https://www.muntinlupacity.gov.ph,Broad need-based LGU assistance program operating in Muntinlupa.
NavotaAs Academic College Scholarship,Navotas City Government,gemini_research,https://www.navotas.gov.ph,"The NavotaAs Academic Scholarship Program is the baseline higher-education track for residents of Navotas City. It supports incoming first-year college students who graduated in the top 25% of their Senior High School class. Eligible applicants must have parents who are registered voters of Navotas. When utilized at the Navotas Polytechnic College (NPC), it yields full tuition exemption plus 22,000 PHP per year for allowances. If the student passes into other prominent universities outside Navotas, the grant upgrades to a merit value of 262,000 PHP per year to handle high tuition. Applications are manually screened by the Navotas Scholarship Secretariat.",LGU,Merit-based,College,NCR,Navotas,true,Public|Private,STEM|Engineering|IT|Education|Medical|Business|Agriculture|Arts,All accredited college paths,400000,88,,,Top Academic Quartile,true,2200,true,262000,FORM_137|BARANGAY_CERT|BIRTH_CERT,true,true,false,false,2026-06-01,2026-07-10,2026-2027,annual,2025-06-05,2025-07-15,true,navotas_academic_college_2026,application_status=open | confidence=high | link_quality=secondary,https://www.navotas.gov.ph,High-value LGU merit model expanding funding if studying outside the home city.
NavotaAs Fisherfolk Children Scholarship Track,Navotas City Government,gemini_research,https://www.navotas.gov.ph,"A sector-specific LGU track designed to extend educational equity to the children of registered municipal fisherfolk in Navotas City. Administered under the NavotaAs framework, applicants must submit a certified copy of their parent's Navotas Fisherfolk Registration ID or validation from the City Agriculture Office. Academic performance requires a standard passing GWA of 78%. It funds full college or TVET technical training at local institutes, along with a monthly sea-fare/allowance of 1,500 PHP. Highly recurring and designed to break generation poverty in maritime-coastal zones.",LGU,Need,College|TVET,NCR,Navotas,true,Public,STEM|Engineering|IT|Education|Medical|Business|Agriculture|Arts,All available courses,180000,78,,,Fisherfolk Children,true,1500,true,20000,BARANGAY_CERT|BIRTH_CERT|TOR,false,false,false,false,2026-06-01,2026-07-10,2026-2027,annual,2025-06-05,2025-07-15,true,navotas_fisherfolk_children_2026,application_status=open | confidence=high | link_quality=secondary,https://www.navotas.gov.ph,Specialized coastal equity LGU scholarship for fisherfolk dependents.
Marikina City Medical Scholarship Program,Marikina City Government,gemini_research,https://www.marikina.gov.ph,"The Marikina City Medical Scholarship Program is a localized government intervention to support aspiring medical doctors who reside in Marikina City. It covers full tuition and provides educational assistance up to 150,000 PHP per year for students accepted into partner Doctor of Medicine programs (including PLM, FEU-NRMF, UST, MCU, St. Luke's, Our Lady of Fatima University). Applicants must not exceed 30 years of age, must possess a clean record of good moral character, and maintain a household income below 600,000 PHP. Return service dictates that the recipient must practice medicine within the Marikina public healthcare network or city clinics for a duration matching the length of the scholarship.",LGU,Merit-and-Need,Graduate,NCR,Marikina,true,Private|Public,Medical,Doctor of Medicine (MD),600000,85,,30,Aspiring Physicians,true,4000,true,150000,TOR|BIRTH_CERT|GOOD_MORAL|ESSAY,true,true,true,true,2026-05-01,2026-06-15,2026-2027,annual,2025-05-10,2025-06-20,false,marikina_medical_scholarship_2026,application_status=closed_reference | confidence=high | link_quality=secondary,https://www.marikina.gov.ph,Targeted graduate medical track by Marikina LGU with explicit partner-school ties.
Parañaque City Tertiary Education Financial Assistance Program,Parañaque City Government,gemini_research,https://www.paranaquecity.gov.ph,"The Tertiary Education Financial Assistance Program (TEFAP) is an open-access equity grant run by the Parañaque LGU for resident college students. To fit varying academic profiles, the cash stipend scales directly with academic performance: students maintaining a GWA of 88% and above receive 6,000 PHP per semester, while those with a GWA between 80% and 87% receive 4,000 PHP per semester. Requirements demand 3 years of residency and a parent's voter registration record inside Parañaque. Online registrations are queued via the local city hall portal.",LGU,Merit-and-Need,College,NCR,Parañaque,true,Public|Private,STEM|Engineering|IT|Education|Medical|Business|Agriculture|Arts,All undergraduate paths,300000,80,,,General College Residents,false,,true,12000,BARANGAY_CERT|TOR|BIRTH_CERT,false,false,false,false,2026-07-01,2026-08-20,2026-2027,semester,2025-07-10,2025-08-25,true,paranaque_tefap_2026,application_status=opening_soon | confidence=medium | link_quality=secondary,https://www.paranaquecity.gov.ph,Scalable financial grant based on tiered GWA levels for Parañaque residents.
Cebu Province CP GIFTS Program,Cebu Provincial Government,gemini_research,https://www.cebu.gov.ph,"The Cebu Province Grants Intended for Tertiary Students (CP-GIFTS) is a massive provincial scholarship initiative under the Office of the Governor. It funds 5,900 concurrent slots for poor but deserving students living across the municipalities and component cities of Cebu Province. Applicants must study at designated SUCs, LUCs, or partner private schools within Cebu and maintain a minimum GWA of 85%. Household income must not cross 200,000 PHP annually. It grants a definitive flat sum of 10,000 PHP per semester for school requirements. A mandatory return component requires executing 160 hours of verified community civic service within the student's home municipality.",LGU,Need,College,Region VII - Central Visayas,,true,Public|Private,STEM|Engineering|IT|Education|Medical|Business|Agriculture|Arts,All accredited degrees in Cebu,200000,85,,,Provincial Rural Youth,false,,true,20000,BARANGAY_CERT|TOR|ITR,false,false,false,true,2026-06-01,2026-07-15,2026-2027,annual,2025-06-15,2025-07-30,true,cebu_province_cp_gifts_2026,application_status=open | confidence=high | link_quality=secondary,https://www.cebu.gov.ph|https://cebudailynews.inquirer.net,Substantial provincial equity program for Cebu with explicit community service hours.
Cebu City College Scholarship Program,Cebu City Government,gemini_research,https://www.cebucity.gov.ph,"The Cebu City College Scholarship Program (CCCSP) targets urban youth residents who graduated from public high schools located specifically within the north and south districts of Cebu City. It provides 10,000 PHP per semester for tuition if the recipient enrolls in accredited private universities, or 2,500 PHP per semester for books and uniform allowances if they enter tuition-free SUCs (like CTU or CNU). Requires a voter's certification from Cebu City and a minimum GWA of 80%. Applications are handled at the Cebu City Sports Complex scholarship secretariat.",LGU,Merit-and-Need,College,Region VII - Central Visayas,Cebu City,true,Public|Private,STEM|Engineering|IT|Education|Medical|Business|Agriculture|Arts,All undergraduate programs,350000,80,,,Urban Public High Graduates,true,,true,20000,FORM_137|BARANGAY_CERT|BIRTH_CERT,false,true,false,false,2026-05-15,2026-06-30,2026-2027,annual,2025-05-20,2025-07-05,false,cebu_city_cccsp_2026,application_status=closed_reference | confidence=high | link_quality=secondary,https://www.cebucity.gov.ph,Dedicated urban city scholarship dividing benefit values between public and private tracks.
Davao City STEP FA Category A,Davao City Government (EBSU),gemini_research,https://davaocity.gov.ph,"The Scholarship on Tertiary Education Program (STEP) Category A is the premier academic merit award administered by the Educational Benefit System Unit (EBSU) of Davao City. It targets high-achieving residents who attained an elite GWA of 93% or higher upon graduating Senior High School. It supplies a robust funding package of 25,000 PHP per semester to completely offset academic fees or serve as general living stipends. Financial standing is reviewed via the City Social Welfare and Development Office (CSWDO) indigency screening. Highly stable and recurring annually.",LGU,Merit-based,College,Region XI - Davao,Davao City,true,Public|Private,STEM|Engineering|IT|Education|Medical|Business,High priority developmental tracks,250000,93,,,Elite Mindanao Scholars,true,3000,true,50000,FORM_137|BARANGAY_CERT|BIRTH_CERT,true,true,false,false,2026-05-01,2026-06-15,2026-2027,annual,2025-05-10,2025-06-25,false,davao_city_step_cat_a_2026,application_status=closed_reference | confidence=high | link_quality=primary,https://davaocity.gov.ph/transparency/forms-and-reports/forms/ebsu-online-application,Davao EBSU top merit tier requiring a 93% GWA baseline.
Davao City STEP FA Category B,Davao City Government (EBSU),gemini_research,https://davaocity.gov.ph,"Administered by Davao City's EBSU, the STEP Category B serves as the mid-tier merit assistance channel. It requires a baseline GWA of 88% with zero grade deficiencies. It offers a flat grant of 20,000 PHP per semester (40,000 PHP annually) to help cover tuition and computing materials at any CHED-accredited college in Region XI. Candidates must verify local voter status and clear the household income check managed by the local social services office.",LGU,Merit-and-Need,College,Region XI - Davao,Davao City,true,Public|Private,STEM|Engineering|IT|Education|Medical|Business|Agriculture|Arts,All accredited college courses,300000,88,,,Middle Class Achievers,false,2000,true,40000,FORM_137|BARANGAY_CERT|ITR,false,true,false,false,2026-05-01,2026-06-15,2026-2027,annual,2025-05-10,2025-06-25,false,davao_city_step_cat_b_2026,application_status=closed_reference | confidence=high | link_quality=primary,https://davaocity.gov.ph/transparency/forms-and-reports/forms/ebsu-online-application,Davao EBSU mid-tier option with distinct financial caps and lower GWA bar.
