id,verification_bundle,verification_priority,title,provider,provider_type,scholarship_type,primary_link,link_status,data_status,description,eligible_levels,eligible_regions,eligible_cities,residency_required,eligible_school_types,eligible_courses_psced,eligible_courses_specific,citizenship_required,max_income_threshold,min_gwa_normalized,min_age,max_age,priority_groups,members_only,benefit_tuition,benefit_allowance_monthly,benefit_books,benefit_miscellaneous,benefit_total_value,required_documents,has_qualifying_exam,has_interview,has_essay_requirement,has_return_service,application_open_date,application_deadline,academic_year_target,cycle_type,last_open_date,last_close_date,application_status,last_verified_at,verification_source,is_active
46,archived_reference,normal,Mindanao State University SASE Academic Scholarship,Mindanao State University System,Institutional,Merit-based,https://www.msumain.edu.ph,,expired,"The Mindanao State University System Academic Scholarship is awarded to incoming undergraduate freshmen who score in the top 5% of the annual MSU System Admission and Scholarship Examination (SASE) across Mindanao. Administered by the MSU Admissions Office, it offers full institutional tuition waivers, free dormitory lodging within the university campus, and a semestral book allowance. Grantees must maintain a GWA of 2.0 (85%) per semester to sustain benefits. This program forms a vital pipeline for students in conflict-affected regions.",College,BARMM|Region IX - Zamboanga Peninsula|Region X - Northern Mindanao|Region XI - Davao|Region XII - Soccsksargen|Region XIII - Caraga,,false,Public,STEM|Engineering|IT|Education|Medical|Business|Agriculture|Arts,All undergraduate tracks,,,85.0,,,Mindanao Youth,false,true,,true,,20000,TOR|GOOD_MORAL,true,false,false,false,2026-03-01,2026-05-15,2026-2027,annual,2025-03-10,2025-05-20,archived,2026-06-30T12:30:56.069545,manual,false
47,archived_reference,normal,Muntinlupa MOST Academic Scholarship,Muntinlupa Scholarship Division,LGU,Merit-based,https://www.muntinlupacity.gov.ph,,expired,"The Muntinlupa Outstanding Students (MOST) Scholarship is an elite academic grant given to the top 10 highest-ranking graduating Senior High School students from every public and private high school operating in Muntinlupa City. Managed by the Muntinlupa Scholarship Division (MSD), it applies strictly to individuals who secure entry into premier State Universities (such as UP Diliman/Los Banos) or top-tier private institutions. It offers absolute tuition coverage up to 100,000 PHP annually, alongside a high monthly stipend of 5,000 PHP. Academic maintenance is strictly tied to a GWA of 1.50 (90%) with zero failures. Applications require certified high school ranking documents and automated validation.",College,NCR,Muntinlupa,true,Public|Private,STEM|Engineering|IT|Education|Medical,Top tier national courses,,500000,90.0,,,Top Valedictorians,false,true,5000,true,,130000,FORM_137|GOOD_MORAL|BIRTH_CERT,true,true,true,false,2026-05-01,2026-06-15,2026-2027,annual,2025-05-05,2025-06-20,archived,2026-06-30T12:31:01.041045,manual,false
54,archived_reference,normal,DOH Medical Scholarship and Return Service Program,Department of Health,Government,Merit-and-Need,https://doh.gov.ph,,expired,"The DOH Medical Scholarship and Return Service (MSRS) Program is a major sector-specific government intervention operating under the 'Doktor Para sa Bayan' Act (RA 11509) in partnership with CHED. It funds full medical education (Doctor of Medicine) for qualified Filipino students across certified state and partner private universities. It covers 100% of tuition, laboratory fees, provides a high monthly living allowance of 15,000 PHP, a specialized book/equipment allowance of 20,000 PHP per semester, and basic board exam review subsidies. Eligible applicants must hold a Bachelor's degree with a solid GWA, pass the medical school entrance and NMAT, and prioritize low-income roots or origin from underserved rural towns. Return service requires serving as a public health officer in a government hospital or rural health unit (RHU) for 1 year for every year of scholarship.",Graduate,,,false,Public|Private,Medical,Doctor of Medicine (MD),,600000,85.0,,,Rural Public Health,false,true,15000,true,,250000,TOR|BIRTH_CERT|GOOD_MORAL|ITR|ESSAY,true,true,true,true,2026-05-01,2026-06-30,2026-2027,annual,2025-05-15,2025-07-05,archived,2026-06-30T12:31:17.780959,manual,false
58,archived_reference,normal,Security Bank Foundation State Universities Scholarship,Security Bank Foundation,Private,Merit-and-Need,https://www.securitybank.com,,expired,"The Security Bank Foundation 'Scholars for Better Communities' State Universities Scholarship provides full educational stipends to low-income student leaders enrolled in partner public SUCs (such as UP Diliman, MSU, or regional centers). It provides a high flat allowance of 50,000 PHP per year to cover learning modules, laptops, and transit costs. Applicants must present a GWA of 85% or higher, zero failed subjects, and clear an interview with Security Bank HR personnel. No return service is mandated, but scholars receive priority onboarding for corporate internships.",College,,,false,Public,STEM|Business|IT,Finance Accounting and IT courses,,350000,85.0,,,Low Income Achievers,false,false,,true,,50000,TOR|BIRTH_CERT|GOOD_MORAL|ITR,false,true,false,false,2026-04-15,2026-06-15,2026-2027,annual,2025-04-20,2025-06-25,archived,2026-06-30T12:31:23.825216,manual,false
60,archived_reference,normal,Taiwan ICDF Higher Education Scholarship Program,Taiwan International Cooperation and Development Fund,Government,Merit-based,https://www.icdf.org.tw,,expired,"The Taiwan ICDF Higher Education Scholarship Program is a full international bilateral grant offered to Filipino citizens for Master's or Doctoral programs at partner Taiwanese universities. It provides full tuition coverage, modern campus housing, comprehensive health insurance, and a monthly stipend of 18,000 TWD (Master's) or 20,000 TWD (PhD) (approximately 32,000 to 36,000 PHP). Focus areas are restricted to STEM, tropical agriculture, and electronic engineering. Requires an undergraduate GWA of 85% or better and an interview by the Taipei Economic and Cultural Office (TECO) in Manila.",Graduate,,,false,Public|Private,STEM|Engineering|Agriculture,STEM and Tropical Agriculture fields,,,85.0,,,Advanced Tech Researchers,false,true,35000,true,,900000,TOR|BIRTH_CERT|GOOD_MORAL|ESSAY,false,true,true,false,2026-01-01,2026-03-15,2026-2027,annual,2025-01-05,2025-03-15,archived,2026-06-30T12:31:33.743661,manual,false
64,archived_reference,normal,Global Korea Scholarship (GKS) Graduate,NIIED,Government,Merit-based,https://www.studyinkorea.go.kr,,expired,"South Korean government scholarship for master's and doctoral degrees including mandatory one-year Korean language training. Provides round-trip airfare, tuition, living allowance, and health insurance. Embassy Track allows applying to up to three universities; applicants must be under 40.",Graduate,,,false,Public|Private,,,,,,,40,,false,true,,false,,,TOR|ESSAY|BIRTH_CERT,false,true,true,true,2026-02-12,2026-02-25,2026-2027,annual,2026-02-12,2026-02-25,archived,2026-06-30T13:52:48.552674,manual,false
65,archived_reference,normal,Global Korea Scholarship (GKS) Undergraduate,NIIED,Government,Merit-based,https://www.studyinkorea.go.kr,,expired,"South Korean government scholarship for undergraduate bachelor's degrees in Korea. Fully funded including airfare, tuition, living allowance, and health insurance with mandatory Korean language training. Embassy Track application cycle typically opens in September.",College,,,false,Public|Private,,,,,,,,,false,true,,false,,,FORM_137|BIRTH_CERT|GOOD_MORAL|ESSAY,false,true,true,true,2025-09-15,2025-09-30,2026-2027,annual,2025-09-15,2025-09-30,archived,2026-06-30T13:52:51.770088,manual,false
66,archived_reference,normal,CHED-UniFAST Tertiary Education Subsidy (TES),UniFAST / CHED,Government,Need,https://tes.unifast.gov.ph,,active,"National need-based tertiary education subsidy administered through HEIs via the UniFAST portal. Targets underprivileged and 4Ps/Listahanan students enrolled in CHED-recognized programs. Provides allowance for tuition gaps, books, and living expenses based on prioritization guidelines.",College,,,false,Public|Private,,,,,,,,4Ps/Listahanan|Underprivileged,false,true,,true,,,TOR|4PS_CERT|BIRTH_CERT,false,false,false,false,,,2026-2027,annual,,,archived,2026-06-30T13:52:53.243308,manual,false
67,archived_reference,normal,TESDA Private Education Student Financial Assistance,TESDA,Government,Need,https://www.tesda.gov.ph,,active,TESDA-administered financial assistance for students in private TVET institutions. Rolling applications processed through regional and provincial TESDA offices. Targets underprivileged learners pursuing technical-vocational education and training programs.,TVET,,,false,Private,,,,,,,,Underprivileged,false,true,,false,,,BIRTH_CERT|FORM_137|BARANGAY_CERT,false,false,false,false,,,2026-2027,rolling,,,archived,2026-06-30T13:52:54.672890,manual,false
68,archived_reference,normal,PUP Entrance Scholarship Program,PUP,Institutional,Merit-based,https://www.pup.edu.ph/students/scholarships,,active,"Institutional merit scholarship for exemplary incoming PUP freshmen who qualify through the university entrance examination. Targets high-performing qualifiers with financial need considerations including PWD, IP, and solo parent dependents.",College,,,false,Public,,,,,,,,IP|PWD|Solo Parent Dependent|Underprivileged,false,true,,false,,,FORM_137|BIRTH_CERT|GOOD_MORAL,true,false,false,false,,,2026-2027,annual,,,archived,2026-06-30T13:52:55.918915,manual,false
70,archived_reference,normal,UP College of Law Scholarship Program,UP College of Law,Institutional,Merit-and-Need,https://law.upd.edu.ph/call-for-scholarship-applications-ay-2025-2026/,,expired,"Institutional merit-and-need scholarship for UP College of Law students. Targets underprivileged, PWD, and IP law students with demonstrated financial need and academic standing. Highly recurring annual grant administered by the law college.",Graduate,,,false,Public,,Law,,,,,,IP|PWD|Underprivileged,false,true,,false,,,TOR|ITR|ESSAY|GOOD_MORAL,false,true,true,false,2025-06-30,2025-07-20,2025-2026,annual,2025-06-30,2025-07-20,archived,2026-06-30T13:52:57.289828,manual,false
72,archived_reference,normal,Gokongwei Brothers Foundation STEM-College Scholarship,Gokongwei Brothers Foundation,Private,Merit-and-Need,https://philscholar.com/gbf-stem-college-scholarship/,,expired,"Annual corporate STEM scholarship for college students in engineering, IT, and related science fields. Covers tuition and provides allowances for scholars demonstrating academic merit and financial need. Annual cycle closed May 31, 2026 for current intake.",College,,,false,Public|Private,STEM|Engineering|IT,,,,,,,,false,true,,false,,,TOR|FORM_137|BIRTH_CERT|GOOD_MORAL,false,true,false,false,2026-04-07,2026-05-31,2026-2027,annual,2026-04-07,2026-05-31,archived,2026-06-30T13:52:58.616590,manual,false
73,archived_reference,normal,DOST-SEI Undergraduate Scholarships (RA 7687 / Merit),DOST-SEI,Government,Merit-and-Need,https://www.science-scholarships.ph/,,expired,"Premier national science scholarship for four- or five-year baccalaureate degrees in science and technology. RA 7687 targets underprivileged students; Merit track is open regardless of income. Benefits include tuition up to 40000 PHP per year, 8000 PHP monthly living allowance, and 10000 PHP annual learning materials allowance.",College,,,false,Public|Private,STEM|Engineering|IT|Medical|Agriculture,,,,,,,Underprivileged,false,true,8000,true,,106000,FORM_137|BIRTH_CERT|GOOD_MORAL|ITR,true,true,false,true,2025-10-13,2025-11-22,2026-2027,annual,2025-10-13,2025-11-22,archived,2026-06-30T13:53:01.555298,manual,false
74,archived_reference,normal,Australia Awards Scholarships (Philippines),Australian Government,Government,Merit-based,https://www.australiaawardsphilippines.org/scholarships,,expired,"Fully funded master's degrees at Australian universities for Filipino citizens with at least 12 months Philippine residency and two years cumulative work experience. Covers tuition, return air travel, establishment allowance, living expenses, and health insurance. Requires a Re-Entry Action Plan for development work upon return.",Graduate,,,false,Public|Private,STEM|Agriculture|IT|Business|Education|Arts,,,,,,,,false,true,,false,,,TOR|ESSAY|BIRTH_CERT,false,true,true,true,2026-02-01,2026-04-30,2027-2028,annual,2026-02-01,2026-04-30,archived,2026-06-30T13:53:03.614799,manual,false
79,archived_reference,normal,DOST-SEI Junior Level Science Scholarship (JLSS),DOST-SEI,Government,Merit-based,https://www.science-scholarships.ph/,,expired,"Scholarship for incoming third-year college students pursuing science and technology degrees. Requires strong university GWA and completion of the first two years of a four- or five-year STEM program. Provides tuition, monthly living allowance, and learning materials support similar to the undergraduate program.",College,,,false,Public|Private,STEM|Engineering|IT|Medical|Agriculture,,,,,,,,false,true,8000,true,,106000,TOR|BIRTH_CERT|GOOD_MORAL,true,true,false,true,2026-04-13,2026-05-15,2026-2027,annual,2026-04-13,2026-05-15,archived,2026-06-30T13:53:10.759543,manual,false
80,archived_reference,normal,MEXT Scholarship - Research Category,JICC / Embassy of Japan,Government,Merit-based,https://www.ph.emb-japan.go.jp/itpr_en/00_000193.html,,expired,"Japanese Government MEXT scholarship for Filipino college graduates pursuing master's or doctoral degrees in Japan. Requires a feasible research proposal in humanities, social sciences, or natural sciences. Provides tuition, monthly stipend, regional allowance, and roundtrip airfare. Applicants must be under 35 years old.",Graduate,,,false,Public|Private,,,,,,,35,,false,true,,false,,,TOR|BIRTH_CERT|ESSAY,false,true,true,true,2026-04-22,2026-05-29,2027-2028,annual,2026-04-22,2026-05-29,archived,2026-06-30T13:53:12.132770,manual,false
81,archived_reference,normal,MEXT Scholarship - Undergraduate Track,JICC / Embassy of Japan,Government,Merit-based,https://www.ph.emb-japan.go.jp/itpr_en/00_000193.html,,expired,"Japanese Government MEXT scholarship for high school graduates pursuing undergraduate degrees in Japan. Open to applicants under 25 with strong academic records. Covers tuition, monthly stipend, and roundtrip travel for full degree study in Japan.",College,,,false,Public|Private,,,,,,,25,,false,true,,false,,,FORM_137|BIRTH_CERT|GOOD_MORAL,false,true,true,true,2026-04-22,2026-05-29,2027-2028,annual,2026-04-22,2026-05-29,archived,2026-06-30T13:53:13.639858,manual,false
82,archived_reference,normal,MEXT Scholarship - Specialized Training Track,JICC / Embassy of Japan,Government,Merit-based,https://www.ph.emb-japan.go.jp/itpr_en/00_000193.html,,expired,"Japanese Government MEXT scholarship for vocational and specialized training programs in Japan. Targets high school graduates under 25 seeking technical skills development. Provides tuition, stipend, and travel support for designated training courses.",TVET,,,false,Public|Private,,,,,,,25,,false,true,,false,,,FORM_137|BIRTH_CERT|GOOD_MORAL,false,true,true,true,2026-04-22,2026-05-29,2027-2028,annual,2026-04-22,2026-05-29,archived,2026-06-30T13:53:14.735620,manual,false
83,archived_reference,normal,MEXT Scholarship - College of Technology (KOSEN),JICC / Embassy of Japan,Government,Merit-based,https://www.ph.emb-japan.go.jp/itpr_en/00_000193.html,,expired,"Japanese Government MEXT scholarship for the College of Technology (KOSEN) five-year engineering program in Japan. Combines college and TVET-level technical training for high school graduates under 25. Covers tuition, stipend, and roundtrip airfare.",College|TVET,,,false,Public|Private,,,,,,,25,,false,true,,false,,,FORM_137|BIRTH_CERT|GOOD_MORAL,false,true,true,true,2026-04-22,2026-05-29,2027-2028,annual,2026-04-22,2026-05-29,archived,2026-06-30T13:53:15.385160,manual,false
84,archived_reference,normal,GSIS Educational Subsidy Program (GESP),Government Service Insurance System,Government,Need,https://www.gsis.gov.ph,,active,Flat-rate educational grant of 10000 PHP for dependents of active GSIS members and permanent total disability pensioners. Open to all college courses without STEM restriction. Historically offered as a broad welfare benefit before the launch of the STEM-specific GSSP.,College,,,false,Public|Private,,,,,,,,,false,false,,false,,10000,BIRTH_CERT|TOR,false,false,false,false,,,2026-2027,annual,,,archived,2026-06-30T13:53:16.011517,manual,false
85,archived_reference,normal,OWWA Education for Development Scholarship (EDSP),Overseas Workers Welfare Administration,Government,Merit-based,https://scholarship.owwa.gov.ph/,,expired,"Competitive scholarship for high-performing dependents of active OWWA members. Freshmen must be single, under 21, with SHS GWA of at least 80% and must pass the DOST-SEI qualifying exam. Provides up to 60000 PHP per school year for any four- or five-year baccalaureate course.",College,,,false,Public|Private,,,,,80.0,,21,OFW Dependent,false,false,,false,,60000,BIRTH_CERT|FORM_137|TOR|GOOD_MORAL,true,false,false,false,2025-11-10,2025-11-28,2026-2027,annual,2025-11-10,2025-11-28,archived,2026-06-30T13:53:16.599127,manual,false
86,archived_reference,normal,OWWA OFW Dependent Scholarship Program (ODSP),Overseas Workers Welfare Administration,Government,Need,https://scholarship.owwa.gov.ph/,,active,Need-based scholarship for dependents of active OWWA members whose monthly salary does not exceed USD 600. Provides 20000 PHP per school year for baccalaureate or associate courses. Requires minimum 80% GWA for continuing eligibility.,College,,,false,Public|Private,,,,,80.0,,,OFW Dependent,false,false,,false,,20000,BIRTH_CERT|FORM_137|ITR,false,false,false,false,,,2026-2027,annual,,,archived,2026-06-30T13:53:17.818034,manual,false
87,archived_reference,normal,OWWA Congressional Migrant Workers Scholarship (CMWSP),Overseas Workers Welfare Administration,Government,Merit-and-Need,https://scholarship.owwa.gov.ph/,,expired,Congressional-funded scholarship for active OWWA members or dependents with combined household income of USD 2400 or less per year. Restricted to prioritized science and technology courses. Provides up to 60000 PHP per academic year with minimum 80% GWA requirement.,College,,,false,Public|Private,STEM|Engineering|IT|Medical|Agriculture,,,,80.0,,,OFW Dependent,false,false,,false,,60000,BIRTH_CERT|FORM_137|TOR|ITR,false,false,false,false,2025-11-10,2025-11-28,2026-2027,annual,2025-11-10,2025-11-28,archived,2026-06-30T13:53:18.749336,manual,false
88,archived_reference,normal,Quezon City Scholarship Program (QCSP),Quezon City Government,LGU,Need,https://qceservices.quezoncity.gov.ph,,expired,"City-wide LGU scholarship covering senior high school, vocational, college, and postgraduate students who are Quezon City residents with verified QCitizen ID. Directs 70% of tertiary slots to low-income and marginalized sectors. Supported 9377 active scholars in the most recent cycle.",High School|College|TVET|Graduate,NCR,Quezon City,true,Public|Private,,,,,,,,4Ps/Listahanan|PWD|Underprivileged,false,true,,false,,,BARANGAY_CERT|BIRTH_CERT|TOR|4PS_CERT,false,false,false,false,2026-05-25,2026-06-05,2026-2027,annual,2026-05-25,2026-06-05,archived,2026-06-30T13:53:19.760119,manual,false
89,archived_reference,normal,Manuel L. Quezon Filipino Language and Literature Scholarship Program,Quezon City Government,LGU,Merit-based,https://qceservices.quezoncity.gov.ph,,expired,"Specialized Quezon City LGU humanities scholarship for college students, researchers, and educators pursuing Filipino language and literature. Requires QC residency and QCitizen verification. Counterpart to STEM-focused national programs, preserving cultural capital.",College|Graduate,NCR,Quezon City,true,Public|Private,Arts,Filipino Language and Literature,,,,,,,false,true,,false,,,BARANGAY_CERT|BIRTH_CERT|TOR|ESSAY,false,true,true,false,2026-05-25,2026-06-05,2026-2027,annual,2026-05-25,2026-06-05,archived,2026-06-30T13:53:21.949404,manual,false
90,archived_reference,normal,Fulbright-PhilSA Graduate Program,PAEF / PhilSA,Government,Merit-based,https://apply.iie.org/ffsp2027,,expired,"Bi-national Fulbright-Philippine Space Agency program financing master's and doctoral degrees in the United States in space science and technology applications. Fully funded including tuition, travel, maintenance, and health insurance. Requires relevant college degree, two years post-college work experience, and return-to-Philippines service obligation.",Graduate,,,false,Public|Private,STEM|Engineering|IT,Space Science and Technology Applications,,,,,,,false,true,,false,,,TOR|ESSAY|BIRTH_CERT,false,true,true,true,,2026-06-19,2027-2028,annual,,2026-06-19,archived,2026-06-30T13:53:23.927551,manual,false
